"active","pathotype","strain","LB_1","LB_2","LB_3","TSB_1","TSB_2","TSB_3","BHI_1","BHI_2","BHI_3","M63_1","M63_2","M63_3"
"W1","SAEC",5167,0.0547,0.0713,0.0659,0.0832,0.0845,0.0469,0.0762,0.0721,0.062,0.032,0.0488,0.0119
"W1","SAEC",5168,0.0765,0.0657,0.0601,0.0586,0.0542,0.0352,0.2616,0.0947,0.017,0.0357,0.0657,0.0069
"W1","SAEC",5169,0.0327,0.0774,0.0124,0.0102,0.0212,0.0073,0.0257,0.0631,0.0154,0.0044,0.0079,0.0055
"W1","SAEC",5170,0.0197,0.0183,0.0115,0.0139,0.0129,0.0104,0.0215,0.0212,0.0209,0.0593,0.0329,0.0262
"W1","SAEC",5171,0.0611,0.0305,0.0094,0.0263,0.0269,0.0129,0.04,0.1462,0.0193,0.0068,0.1001,0.0059
"W1","CAEC",5180,0.0333,0.0316,0.0108,0.0399,0.0442,0.011,0.0526,0.0423,0.0102,0.1361,0.012,0.0074
"W1","CAEC",5181,0.0162,0.0124,0.0043,0.0153,0.0232,0.0076,0.0173,0.0104,0.0048,0.0462,0.019,0.0085
"W1","CAEC",5182,0.1045,0.0668,0.0178,0.0304,0.0376,0.0191,0.0552,0.0762,0.0123,0.1613,0.0249,0.0049
"W1","CAEC",5183,0.0788,0.0624,0.0167,0.0236,0.0196,0.0099,0.0964,0.0674,0.0156,0.0413,0.0074,0.0046
"W1","CAEC",5184,0.0181,0.0082,0.0046,0.0284,0.0076,0.0086,0.0328,0.0102,0.0088,0.0082,0.0079,0.005
"W1","CAEC",5185,0.075,0.0674,0.0086,0.0375,0.0189,0.0069,0.113,0.0278,0.0167,0.0142,0.0163,0.0036
"W1","CAEC",5186,0.0148,0.0144,0.0051,0.0259,0.018,0.0068,0.0504,0.0237,0.0121,0.1303,0.1168,0.0037
"W1","CAEC",5187,0.0635,0.0534,0.0087,0.0436,0.0556,0.0131,0.0535,0.0344,0.0127,0.0044,0.0092,0.004
"W1","CAEC",5188,0.0321,0.0191,0.005,0.0137,0.0122,0.0052,0.0958,0.0261,0.0131,0.1248,0.0844,0.0038
"W1","CAEC",5189,0.023,0.0326,0.0046,0.0393,0.021,0.0075,0.0308,0.0304,0.0067,0.0179,0.0144,0.0026
"W1","CAEC",5190,0.0778,0.0546,0.0135,0.1013,0.0629,0.0277,0.0978,0.0748,0.0238,0.0187,0.0187,0.0021
"W1","CAEC",5191,0.0823,0.0362,0.015,0.0309,0.0359,0.008,0.0641,0.0358,0.0184,0.0113,0.0211,0.0067
"W1","CAEC",5192,0.0355,0.0269,0.008,0.0436,0.0351,0.012,0.0782,0.0488,0.0133,0.0159,0.0198,0.0033
"W1","CAEC",5193,0.0943,0.1103,0.0282,0.0959,0.0595,0.0345,0.1107,0.0365,0.0085,0.0231,0.0195,0.0033
"W1","CAEC",5194,0.0421,0.0149,0.0035,0.0124,0.0117,0.0084,0.0242,0.0285,0.013,0.0053,0.0137,0.003
